Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kios,Chrome 110.0.0.0,,,2023-03-08 13:58:46,2023-03-08 14:03:00,4m - 13.997s,PASSED
,,,,,,,
Test Cases/Website/Marketing/Kios/Buat Kios,Chrome 110.0.0.0,,,2023-03-08 13:58:46,2023-03-08 13:59:47,1m - 0.645s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-08 13:58:46,2023-03-08 13:58:49,2.915s,PASSED
"navigateToUrl(""https://fe-staging.kumpulkebon.com/login"")",Chrome 110.0.0.0,,,2023-03-08 13:58:49,2023-03-08 13:58:54,4.672s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Login/input_Lupa Kata Sandi_login""), ""personelrmc1@mail.com"")",Chrome 110.0.0.0,,,2023-03-08 13:58:54,2023-03-08 13:58:55,1.148s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Object Kios/Page_Login/input_Lupa Kata Sandi_password""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 110.0.0.0,,,2023-03-08 13:58:55,2023-03-08 13:58:56,0.745s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Login/button_Masuk""))",Chrome 110.0.0.0,,,2023-03-08 13:58:56,2023-03-08 13:58:58,2.203s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_/button_Marketing""))",Chrome 110.0.0.0,,,2023-03-08 13:58:58,2023-03-08 13:59:07,8.878s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff - Dashboard/a_Kios""))",Chrome 110.0.0.0,,,2023-03-08 13:59:07,2023-03-08 13:59:11,4.242s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/button_Ajukan                        Kios""))",Chrome 110.0.0.0,,,2023-03-08 13:59:11,2023-03-08 13:59:14,2.452s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input__kios_nama""), ""PT CINTA CEJAHTERA"")",Chrome 110.0.0.0,,,2023-03-08 13:59:14,2023-03-08 13:59:15,1.265s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input__kios_telp""), ""123456678912"")",Chrome 110.0.0.0,,,2023-03-08 13:59:15,2023-03-08 13:59:16,1.034s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/textarea__kios_alamat""), ""JALAN PT CINTA CEJAHTERA"")",Chrome 110.0.0.0,,,2023-03-08 13:59:16,2023-03-08 13:59:17,1.162s,PASSED
"click(findTestObject(""Object Kios/Page_Marketing Staff/span_Pilih Provinsi - personelRMC""))",Chrome 110.0.0.0,,,2023-03-08 13:59:17,2023-03-08 13:59:18,0.569s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input_Ya_select2-search__field""), ""Papua"")",Chrome 110.0.0.0,,,2023-03-08 13:59:18,2023-03-08 13:59:19,0.940s,PASSED
"sendKeys(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input_Ya_select2-search__field""), Keys.chord(ENTER))",Chrome 110.0.0.0,,,2023-03-08 13:59:19,2023-03-08 13:59:19,0.554s,PASSED
"click(findTestObject(""Object Kios/Page_Marketing Staff/span_Pilih Kabupaten Kota - personilRMC""))",Chrome 110.0.0.0,,,2023-03-08 13:59:19,2023-03-08 13:59:21,2.254s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input_Ya_select2-search__field""), ""Deiyai"")",Chrome 110.0.0.0,,,2023-03-08 13:59:21,2023-03-08 13:59:22,0.951s,PASSED
"sendKeys(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input_Ya_select2-search__field""), Keys.chord(ENTER))",Chrome 110.0.0.0,,,2023-03-08 13:59:22,2023-03-08 13:59:23,0.619s,PASSED
"click(findTestObject(""Object Kios/Page_Marketing Staff/span_Pilih Kecamatan - personelRMC""))",Chrome 110.0.0.0,,,2023-03-08 13:59:23,2023-03-08 13:59:25,1.640s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input_Ya_select2-search__field""), ""Tigi"")",Chrome 110.0.0.0,,,2023-03-08 13:59:25,2023-03-08 13:59:26,0.845s,PASSED
"sendKeys(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input_Ya_select2-search__field""), Keys.chord(ENTER))",Chrome 110.0.0.0,,,2023-03-08 13:59:26,2023-03-08 13:59:26,0.504s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input__kios_gmaps""), ""https://www.google.co.id/maps/@-7.7094418,110.4109991,14z"")",Chrome 110.0.0.0,,,2023-03-08 13:59:26,2023-03-08 13:59:28,1.522s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/button_Simpan Data Kios""))",Chrome 110.0.0.0,,,2023-03-08 13:59:28,2023-03-08 13:59:28,0.535s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-03-08 13:59:28,2023-03-08 13:59:30,2.060s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/button_Tambah Petani Kunci""))",Chrome 110.0.0.0,,,2023-03-08 13:59:30,2023-03-08 13:59:31,1.051s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input__name""), ""DANI SHORT TIME"")",Chrome 110.0.0.0,,,2023-03-08 13:59:31,2023-03-08 13:59:32,1.099s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/input__telephone""), ""1112233445566"")",Chrome 110.0.0.0,,,2023-03-08 13:59:32,2023-03-08 13:59:33,0.989s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/textarea__address""), ""Berbah Sleman YK"")",Chrome 110.0.0.0,,,2023-03-08 13:59:33,2023-03-08 13:59:34,1.022s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/button_Tambahkan""))",Chrome 110.0.0.0,,,2023-03-08 13:59:34,2023-03-08 13:59:35,0.521s,PASSED
delay(4),Chrome 110.0.0.0,,,2023-03-08 13:59:35,2023-03-08 13:59:39,4.013s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Staff/ButtonSubmit-kios""))",Chrome 110.0.0.0,,,2023-03-08 13:59:39,2023-03-08 13:59:39,0.533s,PASSED
"click(findTestObject(""Object Kios/Page_Marketing Staff/button ajukan""))",Chrome 110.0.0.0,,,2023-03-08 13:59:39,2023-03-08 13:59:43,3.590s,PASSED
"click(findTestObject(""Object Kios/Page_Marketing Staff/button_Ya - Buat kios""))",Chrome 110.0.0.0,,,2023-03-08 13:59:43,2023-03-08 13:59:44,0.762s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-03-08 13:59:44,2023-03-08 13:59:46,2.013s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-08 13:59:46,2023-03-08 13:59:47,0.818s,PASSED
,,,,,,,
Test Cases/Website/Marketing/Kios/Konfirmasi Kios,Chrome 110.0.0.0,,,2023-03-08 13:59:47,2023-03-08 14:00:21,34.856s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-08 13:59:47,2023-03-08 13:59:49,1.401s,PASSED
"navigateToUrl(""https://fe-staging.kumpulkebon.com/login"")",Chrome 110.0.0.0,,,2023-03-08 13:59:49,2023-03-08 13:59:52,3.470s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Login/input_Lupa Kata Sandi_login""), ""support@mail.com"")",Chrome 110.0.0.0,,,2023-03-08 13:59:52,2023-03-08 13:59:53,0.948s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Object Kios/Page_Login/input_Lupa Kata Sandi_password""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 110.0.0.0,,,2023-03-08 13:59:53,2023-03-08 13:59:54,0.512s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Login/button_Masuk""))",Chrome 110.0.0.0,,,2023-03-08 13:59:54,2023-03-08 14:00:01,7.871s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Support - Dashboard/a_Kios""))",Chrome 110.0.0.0,,,2023-03-08 14:00:01,2023-03-08 14:00:04,3.053s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Support - Dashboard/a_Konfirmasi Kios""))",Chrome 110.0.0.0,,,2023-03-08 14:00:04,2023-03-08 14:00:10,5.526s,PASSED
"setText(findTestObject(""Object Repository/Object Kios/Page_Marketing Support/input_Filter_nameKios""), ""PT CINTA CEJAHTERA"")",Chrome 110.0.0.0,,,2023-03-08 14:00:10,2023-03-08 14:00:13,3.469s,PASSED
"sendKeys(findTestObject(""Object Repository/Object Kios/Page_Marketing Support/input_Filter_nameKios""), Keys.chord(ENTER))",Chrome 110.0.0.0,,,2023-03-08 14:00:13,2023-03-08 14:00:14,0.387s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Support/button_Konfirmasi""))",Chrome 110.0.0.0,,,2023-03-08 14:00:14,2023-03-08 14:00:16,1.843s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Support/button_Setujui""))",Chrome 110.0.0.0,,,2023-03-08 14:00:16,2023-03-08 14:00:20,3.937s,PASSED
"verifyElementText(findTestObject(""Object Repository/Object Kios/Page_Marketing Support/strong_Anda yakin akan MENYETUJUI Kios tersebut""), ""Anda yakin akan MENYETUJUI Kios tersebut?"")",Chrome 110.0.0.0,,,2023-03-08 14:00:20,2023-03-08 14:00:20,0.714s,PASSED
"click(findTestObject(""Object Repository/Object Kios/Page_Marketing Support/button_Ya""))",Chrome 110.0.0.0,,,2023-03-08 14:00:20,2023-03-08 14:00:21,0.428s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-08 14:00:21,2023-03-08 14:00:21,0.679s,PASSED
,,,,,,,
Test Cases/Website/Marketing/Kios/Registrasi Sub Dealer,Chrome 110.0.0.0,akun : personelrmc1@mail.com,,2023-03-08 14:00:21,2023-03-08 14:02:18,1m - 56.956s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-08 14:00:22,2023-03-08 14:00:23,1.313s,PASSED
"navigateToUrl(""https://fe-staging.kumpulkebon.com/login"")",Chrome 110.0.0.0,,,2023-03-08 14:00:23,2023-03-08 14:00:28,4.465s,PASSED
